Standard Make,Official Display Name,US Market Start Year,US Market End Year,Lifecycle Status,Present in Original Source,Catalog Origin,Validation Status,Primary Source Name,Primary Source URL,Secondary Source Name,Secondary Source URL,Notes
Chevrolet,Chevrolet,1980,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1980&make=CHEVROLET&issueType=r,
Chrysler,Chrysler,1981,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1981&make=CHRYSLER&issueType=r,
Daewoo,Daewoo,1998,2004,Discontinued,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1998&make=DAEWOO&issueType=r,US sales 1999-2002.
Daihatsu,Daihatsu,1988,1992,Discontinued,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1988&make=DAIHATSU&issueType=r,US sales 1988-1992.
Datsun,Datsun,1980,1982,Discontinued,No,Added - Missing Make and Model,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1980&make=DATSUN&issueType=r,Renamed to Nissan in the US during 1984; Datsun-badged records end MY1984. Historical name of Nissan.
DeLorean,DeLorean,1981,1983,Discontinued,No,Added - Missing Make and Model,Fully Verified,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1981&make=DELOREAN&issueType=r,NHTSA vPIC (VIN product data),https://vpic.nhtsa.dot.gov/api/vehicles/GetModelsForMake/DELOREAN?format=json,Added in V2 (missing-make discovery). DMC-12 sold 1981-1983.
Dodge,Dodge,1981,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1981&make=DODGE&issueType=r,Ram-branded trucks separated into the Ram make from MY2011; earlier Ram trucks remain Dodge models.
Eagle,Eagle,1988,1998,Discontinued,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1988&make=EAGLE&issueType=r,"Chrysler brand created from AMC purchase, 1988-1998."
Ferrari,Ferrari,1985,,Active,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1985&make=FERRARI&issueType=r,
Fiat,Fiat,2011,,Active,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2011&make=FIAT&issueType=r,
Fisker,Fisker,2012,2024,Discontinued,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2012&make=FISKER&issueType=r,"Two corporate eras: Fisker Automotive (Karma, 2012) and Fisker Inc (Ocean, 2023-2024)."
Ford,Ford,1980,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1980&make=FORD&issueType=r,
GMC,GMC,1980,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1980&make=GMC&issueType=r,
Genesis,Genesis,2017,,Active,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2017&make=GENESIS&issueType=r,Spun off from Hyundai as a standalone luxury make from MY2017.
Geo,Geo,1989,1997,Discontinued,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1989&make=GEO&issueType=r,Chevrolet sub-brand marketed as a Make 1989-1997; models folded into Chevrolet from 1998.
Honda,Honda,1980,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1980&make=HONDA&issueType=r,
Hummer,Hummer,2003,2010,Discontinued,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2003&make=HUMMER&issueType=r,"Brand retired after MY2010; the 2022+ GMC Hummer EV is a GMC model, not a Hummer-make vehicle."
Hyundai,Hyundai,1986,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1986&make=HYUNDAI&issueType=r,
INEOS,INEOS,2023,,Active,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2023&make=INEOS&issueType=r,US sales from MY2024 (Grenadier).
Infiniti,Infiniti,1990,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1990&make=INFINITI&issueType=r,
Isuzu,Isuzu,1983,2020,Discontinued,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1983&make=ISUZU&issueType=r,US passenger-vehicle sales ended MY2009 (commercial trucks continued).
Jaguar,Jaguar,1980,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1980&make=JAGUAR&issueType=r,
Jeep,Jeep,1980,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1980&make=JEEP&issueType=r,
Karma,Karma,2018,2021,Discontinued,No,Added - Missing Make and Model,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2018&make=KARMA&issueType=r,Successor brand to Fisker Automotive; Revero/GS series from 2017.
Kia,Kia,1993,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1993&make=KIA&issueType=r,
Lamborghini,Lamborghini,1984,,Active,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1984&make=LAMBORGHINI&issueType=r,
Land Rover,Land Rover,1987,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1987&make=LAND%20ROVER&issueType=r,
Lexus,Lexus,1990,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1990&make=LEXUS&issueType=r,
Lincoln,Lincoln,1980,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1980&make=LINCOLN&issueType=r,
Lotus,Lotus,1984,,Active,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1984&make=LOTUS&issueType=r,
Lucid,Lucid,2022,,Active,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2022&make=LUCID&issueType=r,US sales from MY2022.
Maserati,Maserati,1984,,Active,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1984&make=MASERATI&issueType=r,
Maybach,Maybach,2004,2012,Discontinued,No,Added - Missing Make and Model,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2004&make=MAYBACH&issueType=r,Standalone US make 2004-2012; later Mercedes-Maybach models are Mercedes-Benz S-Class variants.
Mazda,Mazda,1980,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1980&make=MAZDA&issueType=r,
McLaren,McLaren,2012,,Active,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2012&make=MCLAREN&issueType=r,
Mercedes-Benz,Mercedes-Benz,1981,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1981&make=MERCEDES-BENZ&issueType=r,"Model catalog uses class-level canonical names (C-Class etc.) for 1994+ and original designations (300E etc.) for earlier model years, matching official US naming conventions."
Mercury,Mercury,1980,2011,Discontinued,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1980&make=MERCURY&issueType=r,Discontinued after MY2011.
Merkur,Merkur,1985,1989,Discontinued,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1985&make=MERKUR&issueType=r,Ford of Europe brand sold in the US 1985-1989.
Mini,MINI,2002,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2002&make=MINI&issueType=r,Official brand styling is 'MINI'; display name kept consistent with the approved Make catalog.
Mitsubishi,Mitsubishi,1984,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1984&make=MITSUBISHI&issueType=r,
Nissan,Nissan,1980,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1980&make=NISSAN&issueType=r,
Oldsmobile,Oldsmobile,1980,2004,Discontinued,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1980&make=OLDSMOBILE&issueType=r,Discontinued after MY2004.
Pagani,Pagani,2014,2023,Discontinued,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2014&make=PAGANI&issueType=r,
Peugeot,Peugeot,1984,1992,Discontinued,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1984&make=PEUGEOT&issueType=r,Withdrew from the US market in 1991.
Plymouth,Plymouth,1980,2002,Discontinued,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1980&make=PLYMOUTH&issueType=r,Discontinued after MY2001.
Polestar,Polestar,2020,,Active,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2020&make=POLESTAR&issueType=r,US sales from MY2021 (Polestar 1 MY2020 limited).
Pontiac,Pontiac,1980,2010,Discontinued,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1980&make=PONTIAC&issueType=r,Discontinued after MY2010.
Porsche,Porsche,1981,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1981&make=PORSCHE&issueType=r,
Ram,Ram,2011,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2011&make=RAM&issueType=r,Spun off from Dodge as a standalone truck brand starting MY2011; Dodge-era Ram trucks remain under Dodge by model year.
Renault,Renault,1983,1987,Discontinued,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1983&make=RENAULT&issueType=r,US sales ended 1987-1989 following the AMC sale to Chrysler.
Rivian,Rivian,2022,,Active,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2022&make=RIVIAN&issueType=r,US sales from MY2022.
Rolls-Royce,Rolls-Royce,1981,,Active,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1981&make=ROLLS-ROYCE&issueType=r,
Saab,Saab,1981,2012,Discontinued,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1981&make=SAAB&issueType=r,US sales ended MY2011.
Saturn,Saturn,1991,2010,Discontinued,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1991&make=SATURN&issueType=r,Discontinued after MY2010.
Scion,Scion,2004,2016,Discontinued,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2004&make=SCION&issueType=r,"Toyota youth brand 2004-2016; surviving models rebadged as Toyota (e.g. iM, iA, FR-S to 86)."
Sterling,Sterling,1987,1991,Discontinued,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1987&make=STERLING&issueType=r,Rover-based brand sold in the US 1987-1991.
Subaru,Subaru,1981,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1981&make=SUBARU&issueType=r,
Suzuki,Suzuki,1984,2013,Discontinued,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1984&make=SUZUKI&issueType=r,Withdrew from the US auto market after MY2013.
Tesla,Tesla,2012,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2012&make=TESLA&issueType=r,
Toyota,Toyota,1980,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1980&make=TOYOTA&issueType=r,
Triumph,Triumph,1980,1980,Discontinued,No,Added - Missing Make and Model,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1980&make=TRIUMPH&issueType=r,US sales of qualifying vehicles ended 1981.
VinFast,VinFast,2023,,Active,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2023&make=VINFAST&issueType=r,US sales from MY2023.
Volkswagen,Volkswagen,1980,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1980&make=VOLKSWAGEN&issueType=r,
Volvo,Volvo,1980,,Active,Yes,Existing Standardized Catalog,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1980&make=VOLVO&issueType=r,
Yugo,Yugo,1986,1990,Discontinued,No,Added - Missing Make and Model,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1986&make=YUGO&issueType=r,US sales 1985-1992.
smart,smart,2008,2019,Discontinued,No,Added - Missing Make and Model,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2008&make=SMART&issueType=r,
