Raw Make,Raw Grouped Model Value,Canonical Make,Canonical Model,Relationship Status,Evidence,Notes
Lexus,IS,Lexus,IS 200t,Verified,EPA/NHTSA government records for the canonical model,Series-level source value.
Lexus,IS,Lexus,IS 250,Verified,EPA/NHTSA government records for the canonical model,Series-level source value.
Lexus,IS,Lexus,IS 250C,Verified,EPA/NHTSA government records for the canonical model,Series-level source value.
Lexus,IS,Lexus,IS 300,Verified,EPA/NHTSA government records for the canonical model,Series-level source value.
Lexus,IS,Lexus,IS 350,Verified,EPA/NHTSA government records for the canonical model,Series-level source value.
Lexus,IS,Lexus,IS 350C,Verified,EPA/NHTSA government records for the canonical model,Series-level source value.
Lexus,IS,Lexus,IS 500,Verified,EPA/NHTSA government records for the canonical model,Series-level source value.
Lexus,IS250C IS350C,Lexus,IS 250C,Verified,EPA/NHTSA government records for the canonical model,Grouped convertible designations.
Lexus,IS250C IS350C,Lexus,IS 350C,Verified,EPA/NHTSA government records for the canonical model,Grouped convertible designations.
Lexus,RX,Lexus,RX 300,Verified,EPA/NHTSA government records for the canonical model,Series-level source value.
Lexus,RX,Lexus,RX 330,Verified,EPA/NHTSA government records for the canonical model,Series-level source value.
Lexus,RX,Lexus,RX 350,Verified,EPA/NHTSA government records for the canonical model,Series-level source value.
Lexus,RX,Lexus,RX 350L,Verified,EPA/NHTSA government records for the canonical model,Series-level source value.
Lexus,RX,Lexus,RX 350h,Verified,EPA/NHTSA government records for the canonical model,Series-level source value.
Lexus,RX,Lexus,RX 400h,Verified,EPA/NHTSA government records for the canonical model,Series-level source value.
Lexus,RX,Lexus,RX 450h,Verified,EPA/NHTSA government records for the canonical model,Series-level source value.
Lexus,RX,Lexus,RX 450h+,Verified,EPA/NHTSA government records for the canonical model,Series-level source value.
Lexus,RX,Lexus,RX 450hL,Verified,EPA/NHTSA government records for the canonical model,Series-level source value.
Lexus,RX,Lexus,RX 500h,Verified,EPA/NHTSA government records for the canonical model,Series-level source value.
Lexus,RX330 RX350 RX400h,Lexus,RX 330,Verified,EPA/NHTSA government records for the canonical model,Grouped designations.
Lexus,RX330 RX350 RX400h,Lexus,RX 350,Verified,EPA/NHTSA government records for the canonical model,Grouped designations.
Lexus,RX330 RX350 RX400h,Lexus,RX 400h,Verified,EPA/NHTSA government records for the canonical model,Grouped designations.
Lexus,RX350  RX450,Lexus,RX 350,Verified,EPA/NHTSA government records for the canonical model,Grouped designations; the US RX450 is the RX 450h hybrid.
Lexus,RX350  RX450,Lexus,RX 450h,Verified,EPA/NHTSA government records for the canonical model,Grouped designations; the US RX450 is the RX 450h hybrid.
Mercedes Benz,C230 c320 C350,Mercedes-Benz,C-Class,Verified,EPA/NHTSA government records for the canonical model,C-Class designations.
Mercedes Benz,CLA250 CLA45 AMG,Mercedes-Benz,CLA-Class,Verified,EPA/NHTSA government records for the canonical model,CLA-Class designations.
Mercedes Benz,E200 E250 E350,Mercedes-Benz,E-Class,Verified,EPA/NHTSA government records for the canonical model,E-Class designations; E200 was not a US designation but the E-Class itself is fully US-verified.
Mercedes Benz,E300 E400,Mercedes-Benz,E-Class,Verified,EPA/NHTSA government records for the canonical model,E-Class designations.
Mercedes Benz,E550 E350,Mercedes-Benz,E-Class,Verified,EPA/NHTSA government records for the canonical model,E-Class designations.
Mercedes Benz,GL350 GL450,Mercedes-Benz,GL-Class,Verified,EPA/NHTSA government records for the canonical model,GL-Class designations.
Mercedes Benz,GLE330d GLE350 GLE400 GLE43AMG,Mercedes-Benz,GLE-Class,Verified,EPA/NHTSA government records for the canonical model,Grouped designations resolve to the GLE-Class; 'GLE330d' is not a known US variant (GLE300d/GLE350d exist) - flagged separately in the validation review file.
Mercedes Benz,GLE350 450,Mercedes-Benz,GLE-Class,Verified,EPA/NHTSA government records for the canonical model,GLE-Class designations.
Mercedes Benz,GLS350d GLS450,Mercedes-Benz,GLS-Class,Verified,EPA/NHTSA government records for the canonical model,GLS-Class designations.
Mercedes Benz,R230 SL500,Mercedes-Benz,SL-Class,Verified,EPA/NHTSA government records for the canonical model,R230 is the SL-Class chassis code.
Mercedes Benz,SL300 SL320 SL500 SL600,Mercedes-Benz,SL-Class,Verified,EPA/NHTSA government records for the canonical model,SL-Class designations; SL300 was not a US designation but the SL-Class itself is fully US-verified.
Toyota,Tundra Sequoia,Toyota,Tundra,Verified,EPA/NHTSA government records for the canonical model,Grouped platform-mates; both exist as standalone models.
Toyota,Tundra Sequoia,Toyota,Sequoia,Verified,EPA/NHTSA government records for the canonical model,Grouped platform-mates; both exist as standalone models.
