Candidate ID,Standard Make,Standard Model,Candidate Value,Candidate Model Years,Proposed Canonical Value,Proposed Classification,Confirmed Model Years,US Market Confirmed,Primary Source Organization,Primary Source Document,Primary Source URL,Secondary Source Organization,Secondary Source Document,Secondary Source URL,Source Access Date,Official Naming Evidence,Research Outcome,Version 4 Action,Notes
HP-011,Porsche,Panamera,Sport,2018; 2020-2021,Sport Turismo,Body Style,2018; 2020-2021,Yes,Porsche Cars North America,Porsche Newsroom Panamera press kit (Sport Turismo body variant),https://newsroom.porsche.com/en/press-kits/panamera.html,,,,2026-07-18,"The recall-string residual 'Sport' is a fragment of 'Sport Turismo', Porsche's official body variant of the Panamera - a body style, not a trim.",Approved as Body Style,Added to the vehicle configuration catalog.,"The recall-string residual 'Sport' is a fragment of 'Sport Turismo', Porsche's official body variant of the Panamera - a body style, not a trim."
HP-012,BMW,1 Series,128I,2007-2013,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-013,BMW,1 Series,135I,2007-2013,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-014,BMW,2 Series,228I,2014-2016; 2020-2024,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-015,BMW,2 Series,M235I,2014-2016; 2020-2024,M235I,Trim,2014-2016; 2020-2024,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-016,BMW,2 Series,M240I,2017-2026,M240I,Trim,2017-2026,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-017,BMW,3 Series,318I,1984-1985; 1991-1998; 2001,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-018,BMW,3 Series,318IS,1991-1995; 1997,318Is,Trim,1991-1995; 1997,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-019,BMW,3 Series,318TI,1995-1999,318Ti,Trim,1995-1999,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-020,BMW,3 Series,320I,1980; 1982; 2012-2018,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-021,BMW,3 Series,323I,1985; 1998-2001; 2011,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-022,BMW,3 Series,325CI,2000-2006,325Ci,Trim,2000-2006,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-023,BMW,3 Series,325I,1987-1995; 2000-2006; 2011-2012,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-024,BMW,3 Series,325IC,1991; 1994,325Ic,Trim,1991; 1994,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-025,BMW,3 Series,325IS,1991; 1994,325Is,Trim,1991; 1994,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-026,BMW,3 Series,325IX,1989-1991; 2001,325Ix,Trim,1989-1991; 2001,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-027,BMW,3 Series,325XI,2001-2006,325Xi,Trim,2001-2006,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-028,BMW,3 Series,328CI,2000; 2007-2012,328Ci,Trim,2000; 2007-2012,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-029,BMW,3 Series,328D,2014-2018,328D,Trim,2014-2018,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-030,BMW,3 Series,328I,1996-2001; 2007-2016,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-031,BMW,3 Series,328IC,1997; 1999-2000,328Ic,Trim,1997; 1999-2000,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-032,BMW,3 Series,328XI,2007-2008; 2014-2015,328Xi,Trim,2007-2008; 2014-2015,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-033,BMW,3 Series,330CI,2000-2006,330Ci,Trim,2000-2006,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-034,BMW,3 Series,330E,2016-2018; 2021-2024,330E,Trim,2016-2018; 2021-2024,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-035,BMW,3 Series,330I,2001-2006; 2017-2026,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-036,BMW,3 Series,330XI,2001-2006,330Xi,Trim,2001-2006,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-037,BMW,3 Series,335D,2009-2011,335D,Trim,2009-2011,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-038,BMW,3 Series,335I,2007-2016,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-039,BMW,3 Series,335IS,2011-2013,335Is,Trim,2011-2013,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-040,BMW,3 Series,335XI,2007-2008; 2013-2015,335Xi,Trim,2007-2008; 2013-2015,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-041,BMW,3 Series,M340I,2020-2026,M340I,Trim,2020-2026,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-042,BMW,4 Series,428I,2014-2016,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-043,BMW,4 Series,430I,2017-2027,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-044,BMW,4 Series,435I,2014-2016,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-045,BMW,4 Series,M440I,2021-2027,M440I,Trim,2021-2027,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-046,BMW,5 Series,525I,1989-1995; 1998-1999; 2001-2007,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-047,BMW,5 Series,525XI,2006-2007; 2011,525Xi,Trim,2006-2007; 2011,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-048,BMW,5 Series,528I,1980; 1997-2001; 2008-2016,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-049,BMW,5 Series,528XI,2008; 2012-2014,528Xi,Trim,2008; 2012-2014,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-050,BMW,5 Series,530E,2018-2023,530E,Trim,2018-2023,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
HP-051,BMW,5 Series,530I,1994-1995; 2001-2007; 2017-2027,,,,N/A,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim.",Duplicate of Existing Canonical Value,No new record; designation already represented by the canonical series model and aliases.,"BMW model designation (e.g. 128i) of the canonical series model; already represented by the series-level canonical model and its aliases, not a trim."
HP-052,BMW,5 Series,535D,2014-2016,535D,Trim,2014-2016,Yes,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (Recall dataset),https://api.nhtsa.gov/products/vehicle/models?issueType=r,2026-07-18,,Approved as Trim,Added to the vehicle hierarchy catalog (EPA certification records explicitly carry this value for these model years).,
